DE.,Name,Type,List,Null,Notes
,DisabilitiesID,S32,,,Unique identifier
,EnrollmentID,S32,,,
,PersonalID,S32,,,
,InformationDate,D,,,
,DisabilityType,I,1.3,,
,DisabilityResponse,I,(see,,
,IndefiniteAndImpairs,I,1.8,Y,
W4.2,TCellCountAvailable,I,1.8,Y,Null unless DisabilityType = 8
W4.A,TCellCount,I,,Y,Null unless W4.2 = 1
W4.B,TCellSource,I,W4.B,Y,Null unless W4.A is not null
W4.3,ViralLoadAvailable,I,W4.3,Y,Null unless DisabilityType = 8
W4.C,ViralLoad,I,,Y,Null unless W4.3 = 1
W4.D,ViralLoadSource,I,W4.B,Y,Null unless W4.C is not null
W6.2,AntiRetroviral,I,1.8,Y,Null unless DisabilityType = 8
,DataCollectionStage,I,5.03.1,,
,DateCreated,T,,,
,DateUpdated,T,,,
,UserID,S32,,,
,DateDeleted,T,,Y,
,ExportID,S32,,,Must match ExportID  in Export.csv
