DE.,Name,Type,List,Null,Notes
5.06.1,EnrollmentID,S32,,,Unique identifier
,PersonalID,S32,,,
,ProjectID,S32,,,Must match a ProjectID in
3.10.1,EntryDate,D,,,
5.09.1,HouseholdID,S32,,,
3.15.1,RelationshipToHoH,I,3.15.1,,
3.917.1,LivingSituation,I,3.12.1,Y,
3.917.2,LengthOfStay,I,3.917.2,Y,
3.917.2,LOSUnderThreshold,I,1.7,Y,
3.917.2,PreviousStreetESSH,I,1.7,Y,
3.917.3,DateToStreetESSH,D,,Y,
3.917.4,TimesHomelessPastThreeYears,I,3.917.4,Y,
3.917.5,MonthsHomelessPastThreeYears,I,3.917.5,Y,
3.08,DisablingCondition,I,1.8,,Export 99 (Data not collected) for
4.13.1,DateOfEngagement,D,,Y,
3.20.1,MoveInDate,D,,Y,
P3.1,DateOfPATHStatus,D,,Y,
P3.2,ClientEnrolledInPATH,I,1.7,Y,
P3.A,ReasonNotEnrolled,I,P3.A,Y,Null unless P3.2 = 0
U1.1,WorstHousingSituation,I,1.8,Y,
V4.1,PercentAMI,I,V4.1,Y,
V5.1,LastPermanentStreet,S100,,Y,
V5.2,LastPermanentCity,S50,,Y,
V5.3,LastPermanentState,S2,,Y,^[a-zA-Z]{2}$
V5.4,LastPermanentZIP,S5,,Y,Must be 5 digits or null; do not
V5.5,AddressDataQuality,I,V5.5,Y,
R1.1,ReferralSource,I,R1.1,Y,
R1.A,CountOutreachReferralApproaches,I,,Y,
R2.1,DateOfBCPStatus,D,,Y,
R2.2,EligibleForRHY,I,1.7,Y,
R2.A,ReasonNoServices,I,R2.A,Y,Null unless R2.2 = 0
R2.B,RunawayYouth,I,1.8,Y,Null unless R2.2 = 1
R3.1,SexualOrientation,I,R3.1,Y,
R3.A,SexualOrientationOther,S100,,Y,Null unless R3.1 = 6
R11.1,FormerWardChildWelfare,I,1.8,Y,
R11.A,ChildWelfareYears,I,R11.A,Y,
R11.B,ChildWelfareMonths,I,,Y,
R12.1,FormerWardJuvenileJustice,I,1.8,Y,
R12.A,JuvenileJusticeYears,I,R11.A,Y,
R12.B,JuvenileJusticeMonths,I,,Y,
R13.9,UnemploymentFam,I,1.7,Y,
R13.11,MentalHealthDisorderFam,I,1.7,Y,
R13.15,PhysicalDisabilityFam,I,1.7,Y,
R13.21,AlcoholDrugUseDisorderFam,I,1.7,Y,
R13.22,InsufficientIncome,I,1.7,Y,
R13.24,IncarceratedParent,I,1.7,Y,
V6.1,VAMCStation,S5,V6.1,Y,List includes non-integer values;
V7.1,TargetScreenReqd,I,1.7,Y,
V7.A,TimeToHousingLoss,I,V7.A,Y,
V7.B,AnnualPercentAMI,I,V7.B,Y,
V7.C,LiteralHomelessHistory,I,V7.C,Y,
V7.D,ClientLeaseholder,I,1.7,Y,
V7.E,HOHLeaseholder,I,1.7,Y,
V7.F,SubsidyAtRisk,I,1.7,Y,
V7.G,EvictionHistory,I,V7.G,Y,
V7.H,CriminalRecord,I,1.7,Y,
V7.I,IncarceratedAdult,I,V7.I,Y,
V7.J,PrisonDischarge,I,1.7,Y,
V7.K,SexOffender,I,1.7,Y,
V7.L,DisabledHoH,I,1.7,Y,
V7.M,CurrentPregnant,I,1.7,Y,
V7.N,SingleParent,I,1.7,Y,
V7.O,DependentUnder6,I,V7.O,Y,
V7.P,HH5Plus,I,1.7,Y,
V7.Q,CoCPrioritized,I,1.7,Y,
V7.R,HPScreeningScore,I,,Y,
V7.S,ThresholdScore,I,,Y,
,DateCreated,T,,,
,DateUpdated,T,,,
,UserID,S32,,,
,DateDeleted,T,,Y,
,ExportID,S32,,,Must match ExportID in Export.c
