"Name","DE#","Type","List","Null","Notes"
"AssessmentID","","S32","","","Unique identifier"
"EnrollmentID","","S32","","",""
"PersonalID","","S32","","",""
"AssessmentDate","4.19.1","D","","",""
"AssessmentLocation","4.19.2","S250","","",""
"AssessmentType","4.19.3","I","4.19.3","",""
"AssessmentLevel","4.19.4","I","4.19.4","",""
"PrioritizationStatus","4.19.7","I","4.19.7","",""
"DateCreated","","T","","",""
"DateUpdated","","T","","",""
"UserID","","S32","","",""
"DateDeleted","","T","","Y",""
"ExportID","","S32","","","Must match ExportID  in Export.csv"
