"Name","DE#","Type","List","Null","Notes"
"EmploymentEducationID","","S32","","","Unique identifier"
"EnrollmentID","","S32","","",""
"PersonalID","","S32","","",""
"InformationDate","R6.1","D","","",""
"LastGradeCompleted","R4.1","I","R4.1","Y",""
"SchoolStatus","R5.1","I","R5.1","Y",""
"Employed","R6.2","I","1.8","Y",""
"EmploymentType","R6.A","I","R6.A","Y","Null unless R6.2 = 1"
"NotEmployedReason","R6.B","I","R6.B","Y","Null unless R6.2 = 0"
"DataCollectionStage","","I","5.03.1","",""
"DateCreated","","T","","",""
"DateUpdated","","T","","",""
"UserID","","S32","","",""
"DateDeleted","","T","","Y",""
"ExportID","","S32","","","Must match record in Export.csv"
