"Name","DE#","Type","List","Null","Notes"
"EnrollmentID","5.06.1","S32","","","Unique identifier"
"PersonalID","5.08.1","S32","","",""
"ProjectID","2.02.1","S32","","","Must match a ProjectID in
Project.csv"
"EntryDate","3.10.1","D","","",""
"HouseholdID","5.09.1","S32","","",""
"RelationshipToHoH","3.15.1","I","3.15.1","",""
"EnrollmentCoC","3.16.1","S6","","","Must match a record in
ProjectCoC.csv  with the same
ProjectID
^[A-Za-z]{2}-(0-9){3}$"
"LivingSituation","3.917.1","I","3.12.1","Y",""
"RentalSubsidyType","3.917.A","I","3.12.A","Y","Null unless 3.917.1 = 435"
"LengthOfStay","3.917.2","I","3.917.2","Y",""
"LOSUnderThreshold","3.917.2","I","1.7","Y",""
"PreviousStreetESSH","3.917.2","I","1.7","Y",""
"DateToStreetESSH","3.917.3","D","","Y",""
"TimesHomelessPastThreeYears","3.917.4","I","3.917.4","Y",""
"MonthsHomelessPastThreeYears","3.917.5","I","3.917.5","Y",""
"DisablingCondition","3.08","I","1.8","","Export 99 (Data not collected) for
any project entry where there is no
response."
"DateOfEngagement","4.13.1","D","","Y",""
"MoveInDate","3.20.1","D","","Y",""
"DateOfPATHStatus","P3.1","D","","Y",""
"ClientEnrolledInPATH","P3.2","I","1.7","Y",""
"ReasonNotEnrolled","P3.A","I","P3.A","Y","Null unless P3.2 = 0"
"PercentAMI","V4.1","I","V4.1","Y",""
"ReferralSource","R1.1","I","R1.1","Y",""
"CountOutreachReferralApproaches","R1.A","I","","Y",""
"DateOfBCPStatus","R2.1","D","","Y",""
"EligibleForRHY","R2.2","I","1.7","Y",""
"ReasonNoServices","R2.A","I","R2.A","Y","Null unless R2.2 = 0"
"RunawayYouth","R2.B","I","1.8","Y","Null unless R2.2 = 1"
"SexualOrientation","R3.1","I","R3.1","Y",""
"SexualOrientationOther","R3.A","S100","","Y","Null unless R3.1 = 6"
"FormerWardChildWelfare","R11.1","I","1.8","Y",""
"ChildWelfareYears","R11.A","I","R11.A","Y",""
"ChildWelfareMonths","R11.B","I","","Y",""
"FormerWardJuvenileJustice","R12.1","I","1.8","Y",""
"JuvenileJusticeYears","R12.A","I","R11.A","Y",""
"JuvenileJusticeMonths","R12.B","I","","Y",""
"UnemploymentFam","R13.9","I","1.7","Y",""
"MentalHealthDisorderFam","R13.11","I","1.7","Y",""
"PhysicalDisabilityFam","R13.15","I","1.7","Y",""
"AlcoholDrugUseDisorderFam","R13.21","I","1.7","Y",""
"InsufficientIncome","R13.22","I","1.7","Y",""
"IncarceratedParent","R13.24","I","1.7","Y",""
"VAMCStation","V6.1","S5","V6.1","Y","List includes non-integer values;
data type is still a string."
"TargetScreenReqd","V7.1","I","1.7","Y",""
"TimeToHousingLoss","V7.A","I","V7.A","Y",""
"AnnualPercentAMI","V7.B","I","V7.B","Y",""
"LiteralHomelessHistory","V7.C","I","V7.C","Y",""
"ClientLeaseholder","V7.D","I","1.7","Y",""
"HOHLeaseholder","V7.E","I","1.7","Y",""
"SubsidyAtRisk","V7.F","I","1.7","Y",""
"EvictionHistory","V7.G","I","V7.G","Y",""
"CriminalRecord","V7.H","I","1.7","Y",""
"IncarceratedAdult","V7.I","I","V7.I","Y",""
"PrisonDischarge","V7.J","I","1.7","Y",""
"SexOffender","V7.K","I","1.7","Y",""
"DisabledHoH","V7.L","I","1.7","Y",""
"CurrentPregnant","V7.M","I","1.7","Y",""
"SingleParent","V7.N","I","1.7","Y",""
"DependentUnder6","V7.O","I","V7.O","Y",""
"HH5Plus","V7.P","I","1.7","Y",""
"CoCPrioritized","V7.Q","I","1.7","Y",""
"HPScreeningScore","V7.R","I","","Y",""
"ThresholdScore","V7.S","I","","Y",""
"TranslationNeeded","C4","I","1.8","Y",""
"PreferredLanguage","C4.A","I","","Y",""
"PreferredLanguageDifferent","C4.B","S100","","Y","Null unless C4.A = 21"
"DateCreated","","T","","",""
"DateUpdated","","T","","",""
"UserID","","S32","","",""
"DateDeleted","","T","","Y",""
"ExportID","","S32","","","Must match ExportID in Export.csv"
