"Name","DE#","Type","List","Null","Notes"
"EventID","","S32","","","Unique identifier"
"EnrollmentID","","S32","","",""
"PersonalID","","S32","","",""
"EventDate","4.20.1","D","","",""
"Event","4.20.2","I","4.20.2","",""
"ProbSolDivRRResult","4.20.A","I","1.7","Y",""
"ReferralCaseManageAfter","4.20.B","I","1.7","Y",""
"LocationCrisisOrPHHousing","4.20.C","S250","","Y",""
"ReferralResult","4.20.D","I","4.20.D","Y",""
"ResultDate","4.20.E","D","","Y","Null unless ReferralResult not null"
"DateCreated","","T","","",""
"DateUpdated","","T","","",""
"UserID","","S32","","","Must match ExportID  in Export.csv"
