"Name","DE#","Type","List","Null","Notes"
"ExitID","","S32","","","Unique identifier"
"EnrollmentID","","S32","","",""
"PersonalID","","S32","","",""
"ExitDate","3.11.1","D","","",""
"Destination","3.12.1","I","3.12.1","",""
"DestinationSubsidyType","3.12.A","I","3.12.A","Y","Null unless Destination = 435"
"OtherDestination","3.12.B","S50","","Y","Null unless Destination = 17"
"HousingAssessment","W5.1","I","W5.1","Y",""
"SubsidyInformation","W5.A","I","W5.AB","Y","Includes data for W5.A and W5.B."
"ProjectCompletionStatus","R17.1","I","R17.1","Y",""
"EarlyExitReason","R17.A","I","R17.A","Y","Null unless R17.1 = 3"
"ExchangeForSex","R15.1","I","1.8","Y",""
"ExchangeForSexPastThreeMo","R15.A","I","1.8","Y","Null unless R15.1 = 1"
"nths","","","","",""
"CountOfExchangeForSex","R15.B","I","R15.B","Y","Null unless R15.1 = 1"
"AskedOrForcedToExchangeFor","R15.D","I","1.8","Y","Null unless R15.C = 1"
"Sex","","","","",""
"SexPastThreeMonths","","","","",""
"WorkplaceViolenceThreats","R16.1","I","1.8","Y",""
"WorkplacePromiseDifference","R16.2","I","1.8","Y",""
"CoercedToContinueWork","R16.A","I","1.8","Y","Null unless R16.1 or R16.2 = 1"
"LaborExploitPastThreeMonths","R16.B","I","1.8","Y","Null unless R16.1 or R16.2 = 1"
"CounselingReceived","R18.1","I","1.7","Y",""
"IndividualCounseling","R18.A","I","1.7","Y","Null unless R18.1 = 1"
"FamilyCounseling","R18.A","I","1.7","Y","Null unless R18.1 = 1"
"GroupCounseling","R18.A","I","1.7","Y","Null unless R18.1 = 1"
"SessionCountAtExit","R18.B","I","","Y","Null unless R18.1 = 1
Integer >0"
"PostExitCounselingPlan","R18.3","I","1.7","Y",""
"SessionsInPlan","R18.2","I","","Y","Integer >0"
"DestinationSafeClient","R19.1","I","1.8","Y",""
"DestinationSafeWorker","R19.2","I","R19.A","Y",""
"PosAdultConnections","R19.3","I","R19.A","Y",""
"PosPeerConnections","R19.4","I","R19.A","Y",""
"PosCommunityConnections","R19.5","I","R19.A","Y",""
"AftercareDate","R20.1","D","","Y","Null unless date is between
ExitDate and ExitDate + 180 days
AND AftercareProvided is not null"
"AftercareProvided","R20.2","I","R20.2","Y","Null unless AftercareDate is
between ExitDate and ExitDate +
180 days"
"EmailSocialMedia","R20.A","I","1.7","Y","Null unless R20.2 = 1"
"Telephone","R20.A","I","1.7","Y","Null unless R20.2 = 1"
"InPersonIndividual","R20.A","I","1.7","Y","Null unless R20.2 = 1"
"InPersonGroup","R20.A","I","1.7","Y","Null unless R20.2 = 1"
"CMExitReason","V9.1","I","V9.1","Y",""
"DateCreated","","T","","",""
"DateUpdated","","T","","",""
"UserID","","S32","","","Must match ExportID in Export.csv"
