"Name","DE#","Type","List","Null","Notes"
"FunderID","","S32","","","Unique identifier"
"ProjectID","","S32","","","Must match a record in Project.csv"
"Funder","2.06.1","I","2.06.1","",""
"OtherFunder","2.06.A","S100","","Y","Required if 2.06.1 = 46"
"GrantID","2.06.2","S100","","",""
"StartDate","2.06.3","D","","",""
"EndDate","2.06.4","D","","Y",""
"DateCreated","","T","","",""
"DateUpdated","","T","","",""
"UserID","","S32","","",""
"DateDeleted","","T","","Y",""
"ExportID","","S32","","","Must match the ExportID in Export.csv"
