"Name","DE#","Type","List","Null","Notes"
"HealthAndDVID","","S32","","","Unique identifier"
"EnrollmentID","","S32","","",""
"PersonalID","","S32","","",""
"InformationDate","4.11.1","D","","",""
"DomesticViolenceSurvivor","4.11.2","I","1.8","Y",""
"WhenOccurred","4.11.A","I","4.11.A","Y","Null unless 4.11.2 = 1"
"CurrentlyFleeing","4.11.B","I","1.8","Y","Null unless 4.11.2 = 1"
"GeneralHealthStatus","R7.1","I","R7.1","Y",""
"DentalHealthStatus","R8.1","I","R7.1","Y",""
"MentalHealthStatus","R9.1","I","R7.1","Y",""
"PregnancyStatus","R10.1","I","1.8","Y",""
"DueDate","R10.A","D","","Y","Null unless R10.1 = 1"
"DataCollectionStage","","I","5.03.1","",""
"DateCreated","","T","","",""
"DateUpdated","","T","","",""
"UserID","","S32","","",""
"DateDeleted","","T","","Y",""
"ExportID","","S32","","","Must match ExportID in Export.csv"
