"Name","DE#","Type","List","Null","Notes"
"IncomeBenefitsID","","S32","","","Unique identifier"
"EnrollmentID","","S32","","",""
"PersonalID","","S32","","",""
"InformationDate","*","D","","",""
"IncomeFromAnySource","4.02.2","I","1.8","Y",""
"TotalMonthlyIncome","4.02.18","M+","","Y","Should match aggregation of 4.02.2"
"Earned","4.02.3","I","1.7","Y",""
"EarnedAmount","4.02.A","M+","","Y",""
"Unemployment","4.02.4","I","1.7","Y",""
"UnemploymentAmount","4.02.B","M+","","Y",""
"SSI","4.02.5","I","1.7","Y",""
"SSIAmount","4.02.C","M+","","Y",""
"SSDI","4.02.6","I","1.7","Y",""
"SSDIAmount","4.02.D","M+","","Y",""
"VADisabilityService","4.02.7","I","1.7","Y",""
"VADisabilityServiceAmount","4.02.E","M+","","Y",""
"VADisabilityNonService","4.02.8","I","1.7","Y",""
"VADisabilityNonServiceAmount","4.02.F","M+","","Y",""
"PrivateDisability","4.02.9","I","1.7","Y",""
"PrivateDisabilityAmount","4.02.G","M+","","Y",""
"WorkersComp","4.02.10","I","1.7","Y",""
"WorkersCompAmount","4.02.H","M+","","Y",""
"TANF","4.02.11","I","1.7","Y",""
"TANFAmount","4.02.I","M+","","Y",""
"GA","4.02.12","I","1.7","Y",""
"GAAmount","4.02.J","M+","","Y",""
"SocSecRetirement","4.02.13","I","1.7","Y",""
"SocSecRetirementAmount","4.02.K","M+","","Y",""
"Pension","4.02.14","I","1.7","Y",""
"PensionAmount","4.02.L","M+","","Y",""
"ChildSupport","4.02.15","I","1.7","Y",""
"ChildSupportAmount","4.02.M","M+","","Y",""
"Alimony","4.02.16","I","1.7","Y",""
"AlimonyAmount","4.02.N","M+","","Y",""
"OtherIncomeSource","4.02.17","I","1.7","Y",""
"OtherIncomeAmount","4.02.O","M+","","Y",""
"OtherIncomeSourceIdentify","4.02.P","S50","","Y","Null unless 4.02.17 = 1"
"BenefitsFromAnySource","4.03.2","I","1.8","Y",""
"SNAP","4.03.3","I","1.7","y",""
"WIC","4.03.4","I","1.7","Y",""
"TANFChildCare","4.03.5","I","1.7","Y",""
"TANFTransportation","4.03.6","I","1.7","Y",""
"OtherTANF","4.03.7","I","1.7","Y",""
"OtherBenefitsSource","4.03.8","I","1.7","Y",""
"OtherBenefitsSourceIdentify","4.03.A","S50","","Y","Null unless 4.03.8 = 1"
"InsuranceFromAnySource","4.04.2","I","1.8","Y",""
"Medicaid","4.04.3","I","1.7","Y",""
"NoMedicaidReason","4.04.3A","I","4.04.A","Y","Null unless 4.04.3 = 0"
"Medicare","4.04.4","I","1.7","Y",""
"NoMedicareReason","4.04.4A","I","4.04.A","Y","Null unless 4.04.4 = 0"
"SCHIP","4.04.5","I","1.7","Y",""
"NoSCHIPReason","4.04.5A","I","4.04.A","Y","Null unless 4.04.5 = 0"
"VHAServicesHA","4.04.6","I","1.7","Y",""
"NoVHAReasonHA","4.04.6A","I","4.04.A","Y","Null unless 4.04.6 = 0"
"EmployerProvided","4.04.7","I","1.7","Y",""
"NoEmployerProvidedReason","4.04.7A","I","4.04.A","Y","Null unless 4.04.7 = 0"
"COBRA","4.04.8","I","1.7","Y",""
"NoCOBRAReason","4.04.8A","I","4.04.A","Y","Null unless 4.04.8 = 0"
"PrivatePay","4.04.9","I","1.7","Y",""
"NoPrivatePayReason","4.04.9A","I","4.04.A","Y","Null unless 4.04.9 = 0"
"StateHealthIns","4.04.10","I","1.7","Y",""
"NoStateHealthInsReason","4.04.10A","I","4.04.A","Y","Null unless 4.04.10 = 0"
"IndianHealthServices","4.04.11","I","1.7","Y",""
"NoIndianHealthServicesReason","4.04.11A","I","4.04.A","Y","Null unless 4.04.11 = 0"
"OtherInsurance","4.04.12","I","1.7","Y",""
"OtherInsuranceIdentify","4.04.12A","S50","","Y","Null unless 4.04.12 = 1"
"ADAP","W3.3","I","1.8","Y",""
"NoADAPReason","W3.B","I","W3","Y","Null unless W3.3 = 0"
"RyanWhiteMedDent","W3.4","I","1.8","Y",""
"NoRyanWhiteReason","W3.C","I","W3","Y","Null unless W3.4 = 0"
"ConnectionWithSOAR","P4.1","I","1.8","Y",""
"DataCollectionStage","","I","5.03.1","",""
"DateCreated","","T","","",""
"DateUpdated","","T","","",""
"UserID","","S32","","",""
"DateDeleted","","T","","Y",""
"ExportID","","S32","","","Must match ExportID in
Export.csv"
