"Name","DE#","Type","List","Null","Notes"
"UserID","5.07","S32","","","Unique Identifier"
"UserFirstName","","S50","","Y","The first name of the user if
available"
"UserLastName","","S50","","Y","The last name of the user if
available"
"UserPhone","","S10","","Y","The phone number of the user if
available. Limited to 10 digits/no
punctuation.
[2-9][0-9]{2}[2-9][0-9]{2}[0-9]{4}"
"UserExtension","","S5","","Y","The phone extension of the user, if
available. Limited to 5 digits/no
punctuation.
[0-9]{1,5}"
"UserEmail","","S320","","Y","The email address of the user, if
available.
Valid email addresses only"
"DateCreated","","T","","",""
"DateUpdated","","T","","",""
"DateDeleted","","T","","Y",""
"ExportID","","S32","","","Must match record in Export.csv"
