"Name","DE#","Type","List","Null","Notes"
"YouthEducationStatusID","","S32","","","Unique identifier"
"EnrollmentID","","S32","","",""
"PersonalID","","S32","","",""
"InformationDate","C3.1","D","","",""
"CurrentSchoolAttend","C3.2","I","C3.2","Y",""
"MostRecentEdStatus","C3.A","I","C3.A","Y","Null unless C3.2 = 0"
"CurrentEdStatus","C3.B","I","C3.B","Y","Null unless C3.2 = 1 or C3.2 = 2"
"DataCollectionStage","","I","5.03.1","",""
"DateCreated","","T","","",""
"DateUpdated","","T","","",""
"UserID","","S32","","",""
"DateDeleted","","T","","Y",""
"ExportID","","S32","","","Must match ExportID in Export.csv"
